名前,父,母
ゴールドシチー,ヴァイスリーガル,イタリアンシチー
ヴァイスリーガル,Northern Dancer,Victoria Regina
Northern Dancer,Nearctic,Natalma
Nearctic,Nearco,Lady Angela
Nearco,Pharos,Nogara
Lady Angela,Hyperion,Sister Sarah
Natalma,Native Dancer,Almahmoud
Native Dancer,Polynesian,Geisha
Almahmoud,Mahmoud,Arbitrator
Victoria Regina,Menetrier,Victoriana
Menetrier,Fair Copy,La Melodie
Fair Copy,Fairway,Composure
La Melodie,Gold Bridge,La Souriciere
Victoriana,Windfields,Iribelle
Windfields,Bunty Lawless,Nandi
Iribelle,Osiris,Belmona
イタリアンシチー,テスコボーイ,リンネス
テスコボーイ,Princely Gift,Suncourt
Princely Gift,Nasrullah,Blue Gem
Nasrullah,Nearco,Mumtaz Begum
Blue Gem,Blue Peter,Sparkle
Suncourt,Hyperion,Inquisition
Hyperion,Gainsborough,Selene
Inquisition,Dastur,Jury
リンネス,フィダルゴ,ジーゲリン
フィダルゴ,Arctic Star,Miss France
Arctic Star,Nearco,Serena
Miss France,Jock,Nafah
ジーゲリン,カバーラップ二世,ヒロイチ
カバーラップ二世,Cover Up,Betty Martin
ヒロイチ,ヒロサクラ,名月
