名前,父,母
アロンズロッド,エピファネイア,アーモンドアイ
エピファネイア,シンボリクリスエス,シーザリオ
シンボリクリスエス,Kris S.,Tee Kay
Kris S.,Roberto,Sharp Queen
Roberto,Hail to Reason,Bramalea
Sharp Queen,Princequillo,Bridgework
Tee Kay,Gold Meridian,Tri Argo
Gold Meridian,Seattle Slew,Queen Louie
Tri Argo,Tri Jet,Hail Proudly
シーザリオ,スペシャルウィーク,キロフプリミエール
スペシャルウィーク,サンデーサイレンス,キャンペンガール
サンデーサイレンス,Halo,Wishing Well
キャンペンガール,マルゼンスキー,レディーシラオキ
キロフプリミエール,Sadler's Wells,Querida
Sadler's Wells,Northern Dancer,Fairy Bridge
Querida,Habitat,Principia
アーモンドアイ,ロードカナロア,フサイチパンドラ
ロードカナロア,キングカメハメハ,レディブラッサム
キングカメハメハ,Kingmambo,マンファス
Kingmambo,Mr. Prospector,Miesque
マンファス,ラストタイクーン,Pilot Bird
レディブラッサム,Storm Cat,サラトガデュー
Storm Cat,Storm Bird,Terlingua
サラトガデュー,Cormorant,Super Luna
フサイチパンドラ,サンデーサイレンス,ロッタレース
Halo,Hail to Reason,Cosmah
Wishing Well,Understanding,Mountain Flower
ロッタレース,Nureyev,Sex Appeal
Nureyev,Northern Dancer,Special
Sex Appeal,Buckpasser,Best in Show
