名前,父,母
デアリングタクト,エピファネイア,デアリングバード
エピファネイア,シンボリクリスエス,シーザリオ
シンボリクリスエス,Kris S.,Tee Kay
Kris S.,Roberto,Sharp Queen
Roberto,Hail to Reason,Bramalea
Sharp Queen,Princequillo,Bridgework
Tee Kay,Gold Meridian,Tri Argo
Gold Meridian,Seattle Slew,Queen Louie
Tri Argo,Tri Jet,Hail Proudly
シーザリオ,スペシャルウィーク,キロフプリミエール
スペシャルウィーク,サンデーサイレンス,キャンペンガール
サンデーサイレンス,Halo,Wishing Well
キャンペンガール,マルゼンスキー,レディーシラオキ
キロフプリミエール,Sadler's Wells,Querida
Sadler's Wells,Northern Dancer,Fairy Bridge
Querida,Habitat,Principia
デアリングバード,キングカメハメハ,デアリングハート
キングカメハメハ,Kingmambo,マンファス
Kingmambo,Mr. Prospector,Miesque
Mr. Prospector,Raise a Native,Gold Digger
Miesque,Nureyev,Pasadoble
マンファス,ラストタイクーン,Pilot Bird
ラストタイクーン,トライマイベスト,Mill Princess
Pilot Bird,Blakeney,The Dancer
デアリングハート,サンデーサイレンス,デアリングダンジグ
Halo,Hail to Reason,Cosmah
Wishing Well,Understanding,Mountain Flower
デアリングダンジグ,Danzig,Impetuous Gal
Danzig,Northern Dancer,Pas de Nom
Impetuous Gal,Briartic,Impetuous Lady
