名前,父,母
カワカミプリンセス,キングヘイロー,タカノセクレタリー
キングヘイロー,ダンシングブレーヴ,グッバイヘイロー
ダンシングブレーヴ,Lyphard,Navajo Princess
Lyphard,Northern Dancer,Goofed
Northern Dancer,Nearctic,Natalma
Goofed,Court Martial,Barra
Navajo Princess,Drone,Olmec
Drone,Sir Gaylord,Cap and Bells
Olmec,Pago Pago,Chocolate Beau
グッバイヘイロー,Halo,Pound Foolish
Halo,Hail to Reason,Cosmah
Hail to Reason,Turn-to,Nothirdchance
Cosmah,Cosmic Bomb,Almahmoud
Pound Foolish,Sir Ivor,Squander
Sir Ivor,Sir Gaylord,Attica
Squander,Buckpasser,Discipline
タカノセクレタリー,Seattle Slew,Summer Secretary
Seattle Slew,Bold Reasoning,My Charmer
Bold Reasoning,Boldnesian,Reason to Earn
Boldnesian,Bold Ruler,Alanesian
Reason to Earn,Hail to Reason,Sailing Home
My Charmer,Poker,Fair Charmer
Poker,Round Table,Glamour
Fair Charmer,Jet Action,Myrtle Charm
Summer Secretary,Secretariat,Golden Summer
Secretariat,Bold Ruler,Somethingroyal
Bold Ruler,Nasrullah,Miss Disco
Somethingroyal,Princequillo,Imperatrice
Golden Summer,Key to the Mint,Summer Guest
Key to the Mint,Graustark,Key Bridge
Summer Guest,Native Charger,Cee Zee
