名前,父,母
ウイニングチケット,トニービン,パワフルレディ
トニービン,カンパラ,Severn Bridge
カンパラ,Kalamoun,State Pension
Kalamoun,ゼダーン,Khairunissa
ゼダーン,Grey Sovereign,Vareta
Khairunissa,Prince Bio,Palariva
State Pension,オンリーフォアライフ,Lorelei
オンリーフォアライフ,Chanteur,Life Sentence
Lorelei,Prince Chevalier,Rock Goddess
Severn Bridge,Hornbeam,Priddy Fair
Hornbeam,Hyperion,Thicket
Hyperion,Gainsborough,Selene
Thicket,Nasrullah,Thorn Wood
Priddy Fair,Preciptic,Campanette
Preciptic,Precipitation,Artistic
Campanette,Fair Trial,Calluna
パワフルレディ,マルゼンスキー,ロッチテスコ
マルゼンスキー,Nijinsky,シル
Nijinsky,Northern Dancer,Flaming Page
Northern Dancer,Nearctic,Natalma
Flaming Page,Bull Page,Flaring Top
シル,Buckpasser,Quill
Buckpasser,Tom Fool,Busanda
Quill,Princequillo,Quick Touch
ロッチテスコ,テスコボーイ,スターロツチ
テスコボーイ,Princely Gift,Suncourt
Princely Gift,Nasrullah,Blue Gem
Suncourt,Hyperion,Inquisition
スターロツチ,ハロウエー,コロナ
ハロウエー,Fairway,Rosy Legend
コロナ,月友,秀節
