名前,父,母
ブラストワンピース,ハービンジャー,ツルマルワンピース
ハービンジャー,Dansili,Penang Pearl
Dansili,デインヒル,Hasili
デインヒル,Danzig,Razyana
Danzig,Northern Dancer,Pas de Nom
Razyana,His Majesty,Spring Adieu
Hasili,Kahyasi,Kerali
Kahyasi,イルドブルボン,Kadissya
Kerali,High Line,Sookera
Penang Pearl,Bering,Guapa
Bering,Arctic Tern,Beaune
Arctic Tern,Sea-Bird,Bubbling Beauty
Beaune,Lyphard,Barbra
Guapa,Shareef Dancer,Sauceboat
Shareef Dancer,Northern Dancer,Sweet Alliance
Sauceboat,Connaught,Cranberry Sauce
ツルマルワンピース,キングカメハメハ,ツルマルグラマー
キングカメハメハ,Kingmambo,マンファス
Kingmambo,Mr. Prospector,Miesque
Mr. Prospector,Raise a Native,Gold Digger
Miesque,Nureyev,Pasadoble
マンファス,ラストタイクーン,Pilot Bird
ラストタイクーン,トライマイベスト,Mill Princess
Pilot Bird,Blakeney,The Dancer
ツルマルグラマー,フジキセキ,エラティス
フジキセキ,サンデーサイレンス,ミルレーサー
サンデーサイレンス,Halo,Wishing Well
ミルレーサー,Le Fabuleux,Marston's Mill
エラティス,El Gran Senor,Summer Review
El Gran Senor,Northern Dancer,Sex Appeal
Summer Review,Graustark,Raise a Baby
