名前,父,母
オルフェーヴル,ステイゴールド,オリエンタルアート
ステイゴールド,サンデーサイレンス,ゴールデンサッシュ
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Hail to Reason,Turn-to,Nothirdchance
Cosmah,Cosmic Bomb,Almahmoud
Wishing Well,Understanding,Mountain Flower
Understanding,Promised Land,Pretty Ways
Mountain Flower,Montparnasse,Edelweiss
ゴールデンサッシュ,ディクタス,ダイナサッシュ
ディクタス,Sanctus,Doronic
Sanctus,Fine Top,Sanelta
Doronic,Worden,Dulzetta
ダイナサッシュ,ノーザンテースト,ロイヤルサッシュ
ノーザンテースト,Northern Dancer,Lady Victoria
ロイヤルサッシュ,Princely Gift,Sash of Honour
オリエンタルアート,メジロマックイーン,エレクトロアート
メジロマックイーン,メジロティターン,メジロオーロラ
メジロティターン,メジロアサマ,シエリル
メジロアサマ,パーソロン,スヰート
シエリル,スノッブ,Chanel
メジロオーロラ,リマンド,メジロアイリス
リマンド,Alcide,Admonish
メジロアイリス,ヒンドスタン,アサマユリ
エレクトロアート,ノーザンテースト,グランマスティーヴンス
Northern Dancer,Nearctic,Natalma
Lady Victoria,Victoria Park,Lady Angela
グランマスティーヴンス,Lt. Stevens,Dhow
Lt. Stevens,Nantallah,Rough Shod
Dhow,Bronze Babu,Coastal Trade
