名前,父,母
エピファネイア,シンボリクリスエス,シーザリオ
シンボリクリスエス,Kris S.,Tee Kay
Kris S.,Roberto,Sharp Queen
Roberto,Hail to Reason,Bramalea
Hail to Reason,Turn-to,Nothirdchance
Bramalea,Nashua,Rarelea
Sharp Queen,Princequillo,Bridgework
Princequillo,Prince Rose,Cosquilla
Bridgework,Occupy,Feale Bridge
Tee Kay,Gold Meridian,Tri Argo
Gold Meridian,Seattle Slew,Queen Louie
Seattle Slew,Bold Reasoning,My Charmer
Queen Louie,Crimson Satan,Reagent
Tri Argo,Tri Jet,Hail Proudly
Tri Jet,Jester,Haze
Hail Proudly,Francis S.,Spanglet
シーザリオ,スペシャルウィーク,キロフプリミエール
スペシャルウィーク,サンデーサイレンス,キャンペンガール
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Wishing Well,Understanding,Mountain Flower
キャンペンガール,マルゼンスキー,レディーシラオキ
マルゼンスキー,Nijinsky,シル
レディーシラオキ,セントクレスピン,ミスアシヤガワ
キロフプリミエール,Sadler's Wells,Querida
Sadler's Wells,Northern Dancer,Fairy Bridge
Northern Dancer,Nearctic,Natalma
Fairy Bridge,Bold Reason,Special
Querida,Habitat,Principia
Habitat,Sir Gaylord,Little Hut
Principia,Le Fabuleux,Pia
