名前,父,母
ラッキーライラック,オルフェーヴル,ライラックスアンドレース
オルフェーヴル,ステイゴールド,オリエンタルアート
ステイゴールド,サンデーサイレンス,ゴールデンサッシュ
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Wishing Well,Understanding,Mountain Flower
ゴールデンサッシュ,ディクタス,ダイナサッシュ
ディクタス,Sanctus,Doronic
ダイナサッシュ,ノーザンテースト,ロイヤルサッシュ
オリエンタルアート,メジロマックイーン,エレクトロアート
メジロマックイーン,メジロティターン,メジロオーロラ
メジロティターン,メジロアサマ,シエリル
メジロオーロラ,リマンド,メジロアイリス
エレクトロアート,ノーザンテースト,グランマスティーヴンス
ノーザンテースト,Northern Dancer,Lady Victoria
グランマスティーヴンス,Lt. Stevens,Dhow
ライラックスアンドレース,Flower Alley,Refinement
Flower Alley,Distorted Humor,プリンセスオリビア
Distorted Humor,フォーティナイナー,Danzig's Beauty
フォーティナイナー,Mr. Prospector,File
Danzig's Beauty,Danzig,Sweetest Chant
プリンセスオリビア,Lycius,Dance Image
Lycius,Mr. Prospector,Lypatia
Dance Image,Sadler's Wells,Diamond Spring
Refinement,Seattle Slew,ステラマドリッド
Seattle Slew,Bold Reasoning,My Charmer
Bold Reasoning,Boldnesian,Reason to Earn
My Charmer,Poker,Fair Charmer
ステラマドリッド,Alydar,My Juliet
Alydar,Raise a Native,Sweet Tooth
My Juliet,Gallant Romeo,My Bupers
